nodeName	altName	nodeAttr[nodesPresent, ]
IKZF1	NA	turquoise
DOCK2	NA	turquoise
PTPRC	NA	turquoise
PRKCB	NA	turquoise
WDFY4	NA	turquoise
CD96	NA	turquoise
SLAMF6	NA	turquoise
CD53	NA	turquoise
CD247	NA	turquoise
TOX	NA	turquoise
NCKAP1L	NA	turquoise
ARHGAP15	NA	turquoise
CARD11	NA	turquoise
PRKCQ	NA	turquoise
SCML4	NA	turquoise
FYB1	NA	turquoise
AOAH	NA	turquoise
CAMK4	NA	turquoise
TRAF3IP3	NA	turquoise
ENSG00000291143	NA	turquoise
ITGA4	NA	turquoise
IL21R	NA	turquoise
PPP1R16B	NA	turquoise
SLFN12L	NA	turquoise
IL10RA	NA	turquoise
GNG2	NA	turquoise
CIITA	NA	turquoise
CD28	NA	turquoise
ITK	NA	turquoise
APBB1IP	NA	turquoise
